               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.016868,           0.0046587,                   0,             0.97315,                   1,             0.99124,             0.81316,            0.015504,            0.003366,                   0,           0.0083962,           0.0083962,           0.0083962
                  83,            0.018264,           0.0049496,                   0,             0.96487,                   1,             0.98719,              0.8466,            0.013259,           0.0032383,                   0,           0.0083764,           0.0083764,           0.0083764
                  84,            0.017171,           0.0049628,                   0,              0.9729,                   1,             0.98701,             0.82902,            0.014443,           0.0032595,                   0,           0.0083566,           0.0083566,           0.0083566
                  85,            0.017223,           0.0048409,                   0,             0.97432,             0.99849,             0.99055,             0.84394,            0.013373,            0.003251,                   0,           0.0083368,           0.0083368,           0.0083368
                  86,            0.017832,           0.0050881,                   0,             0.97392,                   1,             0.98907,             0.80276,            0.015423,           0.0033119,                   0,            0.008317,            0.008317,            0.008317
                  87,            0.016659,           0.0046172,                   0,             0.97275,                   1,             0.99351,             0.85773,            0.013041,           0.0031539,                   0,           0.0082972,           0.0082972,           0.0082972
                  88,            0.016148,           0.0045823,                   0,             0.97294,                   1,             0.99349,             0.85447,            0.013657,           0.0032485,                   0,           0.0082774,           0.0082774,           0.0082774
                  89,            0.015892,           0.0047537,                   0,             0.97299,                   1,             0.99367,             0.82668,            0.014091,           0.0032075,                   0,           0.0082576,           0.0082576,           0.0082576
                  90,            0.016941,           0.0049972,                   0,             0.97089,                   1,             0.99246,             0.86823,            0.012465,           0.0031233,                   0,           0.0082378,           0.0082378,           0.0082378
                  91,             0.01688,           0.0046676,                   0,             0.97351,                   1,             0.99431,             0.87186,            0.012286,           0.0032467,                   0,            0.008218,            0.008218,            0.008218
                  92,            0.017814,           0.0048741,                   0,             0.97349,                   1,             0.99439,             0.84352,              0.0134,           0.0032491,                   0,           0.0081982,           0.0081982,           0.0081982
                  93,            0.017407,           0.0047797,                   0,             0.97342,                   1,              0.9943,             0.84247,              0.0131,           0.0031908,                   0,           0.0081784,           0.0081784,           0.0081784
                  94,            0.017719,           0.0048475,                   0,             0.98128,                   1,             0.99377,             0.86623,            0.012617,           0.0031388,                   0,           0.0081586,           0.0081586,           0.0081586
                  95,            0.016456,           0.0047373,                   0,             0.98275,                   1,             0.99421,             0.84345,             0.01406,            0.003104,                   0,           0.0081388,           0.0081388,           0.0081388
                  96,            0.015804,            0.004787,                   0,             0.97255,                   1,             0.99456,             0.86271,            0.013198,           0.0030357,                   0,            0.008119,            0.008119,            0.008119
                  97,            0.016412,            0.004775,                   0,             0.97362,                   1,             0.99403,             0.86701,            0.011982,           0.0029456,                   0,           0.0080992,           0.0080992,           0.0080992
                  98,            0.016329,            0.004685,                   0,             0.97344,                   1,             0.99285,             0.86851,            0.012371,           0.0030606,                   0,           0.0080794,           0.0080794,           0.0080794
                  99,            0.015723,           0.0047514,                   0,             0.97363,                   1,             0.99223,             0.86792,            0.012008,           0.0030588,                   0,           0.0080596,           0.0080596,           0.0080596
                 100,            0.016437,           0.0046643,                   0,             0.97367,                   1,             0.99421,             0.87119,            0.012287,           0.0030223,                   0,           0.0080398,           0.0080398,           0.0080398
                 101,            0.015213,           0.0046365,                   0,             0.97351,                   1,             0.99153,             0.86421,            0.012347,           0.0030779,                   0,             0.00802,             0.00802,             0.00802
                 102,            0.016504,           0.0045299,                   0,             0.98253,                   1,             0.99289,             0.85756,            0.012994,           0.0030535,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,            0.016614,           0.0046989,                   0,              0.9761,                   1,             0.99241,             0.87792,            0.012156,            0.003016,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,            0.015668,           0.0048591,                   0,             0.97343,                   1,             0.99279,             0.86457,            0.012764,           0.0030758,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,             0.01441,           0.0044094,                   0,             0.97548,                   1,             0.99385,             0.86976,            0.011614,           0.0029666,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,            0.014452,           0.0042792,                   0,             0.97407,                   1,             0.99377,             0.86197,            0.012731,           0.0030801,                   0,            0.007921,            0.007921,            0.007921
                 107,            0.015707,           0.0044658,                   0,              0.9765,                   1,             0.99403,               0.871,            0.012347,           0.0029509,                   0,           0.0079012,           0.0079012,           0.0079012
                 108,            0.015968,           0.0044525,                   0,             0.97993,                   1,             0.99457,             0.87224,            0.011683,           0.0029115,                   0,           0.0078814,           0.0078814,           0.0078814
                 109,            0.015928,           0.0046005,                   0,             0.98145,                   1,             0.99491,             0.82066,            0.014874,           0.0030924,                   0,           0.0078616,           0.0078616,           0.0078616
                 110,            0.016102,           0.0044212,                   0,             0.98177,                   1,             0.99483,              0.8824,            0.011226,           0.0028977,                   0,           0.0078418,           0.0078418,           0.0078418
                 111,            0.016673,           0.0047316,                   0,             0.98172,                   1,             0.99491,             0.86745,            0.012803,           0.0029672,                   0,            0.007822,            0.007822,            0.007822
                 112,            0.015841,           0.0047892,                   0,             0.98078,                   1,             0.99395,             0.88456,            0.011532,           0.0029757,                   0,           0.0078022,           0.0078022,           0.0078022
                 113,            0.015239,           0.0047282,                   0,             0.99128,             0.99719,             0.99439,             0.89026,            0.011394,           0.0030303,                   0,           0.0077824,           0.0077824,           0.0077824
                 114,            0.014258,           0.0044059,                   0,             0.97366,                   1,             0.99404,             0.88256,             0.01181,           0.0029753,                   0,           0.0077626,           0.0077626,           0.0077626
                 115,            0.015442,           0.0046649,                   0,             0.98274,             0.99911,             0.99403,             0.86644,            0.012534,           0.0029655,                   0,           0.0077428,           0.0077428,           0.0077428
                 116,             0.01454,           0.0047567,                   0,             0.97376,                   1,             0.99421,             0.88056,            0.011522,            0.002882,                   0,            0.007723,            0.007723,            0.007723
                 117,            0.015741,           0.0044883,                   0,             0.97353,                   1,             0.99449,             0.86409,            0.012009,           0.0030227,                   0,           0.0077032,           0.0077032,           0.0077032
                 118,            0.015357,           0.0043324,                   0,             0.97385,                   1,             0.99394,             0.88495,            0.010943,            0.002908,                   0,           0.0076834,           0.0076834,           0.0076834
                 119,            0.014167,           0.0045786,                   0,             0.97371,                   1,              0.9943,             0.84736,            0.012584,           0.0030424,                   0,           0.0076636,           0.0076636,           0.0076636
                 120,            0.014226,           0.0045334,                   0,             0.97367,                   1,             0.99465,             0.88949,            0.010641,           0.0028152,                   0,           0.0076438,           0.0076438,           0.0076438
                 121,            0.015141,           0.0046106,                   0,             0.97363,                   1,             0.99466,             0.86689,            0.011431,           0.0028574,                   0,            0.007624,            0.007624,            0.007624
                 122,            0.014307,           0.0044248,                   0,             0.97717,                   1,             0.99457,             0.87802,            0.011105,           0.0028982,                   0,           0.0076042,           0.0076042,           0.0076042
                 123,            0.014564,           0.0044961,                   0,             0.97339,                   1,             0.99386,             0.85928,            0.012159,           0.0029723,                   0,           0.0075844,           0.0075844,           0.0075844
                 124,            0.016591,           0.0048406,                   0,             0.97307,                   1,             0.99006,             0.87719,            0.011202,           0.0029922,                   0,           0.0075646,           0.0075646,           0.0075646
                 125,            0.016181,           0.0044954,                   0,             0.97431,             0.99804,             0.99007,             0.86467,            0.012032,           0.0030172,                   0,           0.0075448,           0.0075448,           0.0075448
